item_id,description,item_class,retail_1,last_unit_cost,category
CCG420,Comm cantilever gate 4 x 20 op,Non-stock item,0.0,0.0,gate
CCG422,Comm cantilever gate 4 x 22 op,Non-stock item,0.0,0.0,gate
CCG424,Comm cantilever gate 4 x 24 op,Non-stock item,0.0,0.0,gate
CCG426,Comm cantilever gate 4 x 26 op,Non-stock item,0.0,0.0,gate
CCG428,Comm cantilever gate 4 x 28 op,Non-stock item,0.0,0.0,gate
CCG430,Comm cantilever gate 4 x 30 op,Non-stock item,0.0,0.0,gate
CCG510,Comm cantilever gate 5 x 10 op,Non-stock item,0.0,0.0,gate
CCG512,Comm cantilever gate 5 x 12 op,Non-stock item,0.0,0.0,gate
CCG514,Comm cantilever gate 5 x 14 op,Non-stock item,0.0,0.0,gate
CCG516,Comm cantilever gate 5 x 16 op,Non-stock item,0.0,0.0,gate
CCG518,Comm cantilever gate 5 x 18 op,Non-stock item,0.0,0.0,gate
CCG520,Comm cantilever gate 5 x 20 op,Non-stock item,0.0,0.0,gate
CCG522,Comm cantilever gate 5 x 22 op,Non-stock item,0.0,0.0,gate
CCG524,Comm cantilever gate 5 x 24 op,Non-stock item,0.0,0.0,gate
CCG526,Comm cantilever gate 5 x 26 op,Non-stock item,0.0,0.0,gate
CCG528,Comm cantilever gate 5 x 28 op,Non-stock item,0.0,0.0,gate
CCG530,Comm cantilever gate 5 x 30 op,Non-stock item,0.0,0.0,gate
CCG610,Comm cantilever gate 6 x 10 op,Non-stock item,0.0,0.0,gate
CCG612,Comm cantilever gate 6 x 12 op,Non-stock item,0.0,0.0,gate
CCG614,Comm cantilever gate 6 x 14 op,Non-stock item,0.0,0.0,gate
CCG616,Comm cantilever gate 6 x 16 op,Non-stock item,0.0,0.0,gate
CCG618,Comm cantilever gate 6 x 18 op,Non-stock item,0.0,0.0,gate
CCG620,Comm cantilever gate 6 x 20 op,Non-stock item,0.0,0.0,gate
CCG622,Comm cantilever gate 6 x 22 op,Non-stock item,0.0,0.0,gate
CCG624,Comm cantilever gate 6 x 24 op,Non-stock item,0.0,0.0,gate
CCG626,Comm cantilever gate 6 x 26 op,Non-stock item,0.0,0.0,gate
CCG628,Comm cantilever gate 6 x 28 op,Non-stock item,0.0,0.0,gate
CCG630,Comm cantilever gate 6 x 30 op,Non-stock item,0.0,0.0,gate
CCG810,Comm cantilever gate 8 x 10 op,Non-stock item,0.0,0.0,gate
CCG812,Comm cantilever gate 8 x 12 op,Non-stock item,0.0,0.0,gate
CCG814,Comm cantilever gate 8 x 14 op,Non-stock item,0.0,0.0,gate
CCG816,Comm cantilever gate 8 x 16 op,Non-stock item,0.0,0.0,gate
CCG818,Comm cantilever gate 8 x 18 op,Non-stock item,0.0,0.0,gate
CCG820,Comm cantilever gate 8 x 20 op,Non-stock item,0.0,0.0,gate
CCG822,Comm cantilever gate 8 x 22 op,Non-stock item,0.0,0.0,gate
CCG824,Comm cantilever gate 8 x 24 op,Non-stock item,0.0,0.0,gate
CCG826,Comm cantilever gate 8 x 26 op,Non-stock item,0.0,0.0,gate
CCG828,Comm cantilever gate 8 x 28 op,Non-stock item,0.0,0.0,gate
CCG830,Comm cantilever gate 8 x 30 op,Non-stock item,0.0,0.0,gate
CCSS,SELF CLOSING SPRING S.S.,Non-stock item,43.86,28.95,other
CD200,"14"""" X2"""" COREDRILL BIT",Non-stock item,261.54,170.0,concrete
CD250,"14"""" X2-1/2"""" COREDRILL BIT",Non-stock item,307.69,200.0,concrete
CD300,"14"""" X3"""" COREDRILL BIT",Non-stock item,323.08,210.0,concrete
CD350,"14"""" X3-1/2"""""""" COREDRILL BIT",Non-stock item,346.15,225.0,concrete
CD400,"14"""" X4"""" COREDRILL BIT",Non-stock item,384.62,250.0,concrete
CDR,1 3/8 x 48 commercial drop rod,Non-stock item,71.42,28.21,gate
CED4,4 CEDARHURST CUSTOM WOOD,Non-stock item,214.29,150.0,section_panel
CED5,5 CEDARHURST CUSTOM WOOD,Non-stock item,250.0,175.0,section_panel
CED6,6 CEDARHURST CUSTOM WOOD,Non-stock item,282.8,197.96,section_panel
CED8,8 CEDARHURST CUSTOM WOOD,Non-stock item,321.43,225.0,section_panel
CEFCAP,CEF RAIL CAP PER FT,Non-stock item,0.78,0.43,other
CEFCAP16,CEF RAIL CAP 16 ft,Non-stock item,12.51,6.88,other
CEFCAP3,CEF RAIL CAP 3 ft,Non-stock item,2.35,1.29,other
CEFCAP4,CEF RAIL CAP 4 ft,Non-stock item,3.13,1.72,other
CEFCAP6,CEF RAIL CAP 6 ft,Non-stock item,4.69,2.58,other
CEFCAP8,CEF RAIL CAP 8 ft,Non-stock item,6.25,3.44,other
CENT4,4 CENTEREACH WITH DIAMOND,Non-stock item,0.0,0.0,other
CENT5,5 CENTEREACH WITH DIAMOND,Non-stock item,0.0,0.0,other
CENT6,6 CENTEREACH WITH DIAMOND,Non-stock item,0.0,0.0,other
CG436,CUSTOM WOOD GATE 4 x 36,Non-stock item,302.72,151.36,gate
CG442,CUSTOM WOOD GATE 4 x 42,Non-stock item,316.0,158.0,gate
CG448,CUSTOM WOOD GATE 4 x 48,Non-stock item,302.72,151.36,gate
CG460,CUSTOM WOOD GATE 4 x 60,Non-stock item,351.54,175.77,gate
CG472,CUSTOM WOOD GATE 4 x 72,Non-stock item,0.0,0.0,gate
CG536,CUSTOM WOOD GATE 5 x 36,Non-stock item,302.72,151.36,gate
CG542,CUSTOM WOOD GATE 5 x 42,Non-stock item,555.62,277.81,gate
CG548,CUSTOM WOOD GATE 5 x 48,Non-stock item,650.0,325.0,gate
CG560,CUSTOM WOOD GATE 5 x 60,Non-stock item,700.0,350.0,gate
CG572,CUSTOM WOOD GATE 5 x 72,Non-stock item,0.0,0.0,gate
CG636,CUSTOM WOOD GATE 6 x 36,Non-stock item,365.7,182.85,gate
CG642,CUSTOM WOOD GATE 6 x 42,Non-stock item,390.0,195.0,gate
CG648,CUSTOM WOOD GATE 6 x 48,Non-stock item,406.5,203.25,gate
CG660,CUSTOM WOOD GATE 6 x 60,Non-stock item,520.0,260.0,gate
CG672,CUSTOM WOOD GATE 6 x 72,Non-stock item,0.0,0.0,gate
CGL200,2in Round MALL ROLL EASY GATE,Non-stock item,21.72,12.6,gate
CGSFT,field center stop,Non-stock item,15.2,8.36,other
CGSMT,MUSHROOM CENTER STOP,Non-stock item,28.56,15.71,other
CH100N,Corner stone nylon self closin,Non-stock item,35.0,23.1,other
CHAIN40,#40 X 20 FT BOX GATE OPERATOR,Non-stock item,145.45,80.0,gate
CHARGE,,Non-stock item,0.0,0.0,labor_charge
CHEST4,4' X 8' Certainteed - Chesterf,Non-stock item,389.73,214.35,section_panel
CHEST5,5' x 8' Certainteed - Chesterf,Non-stock item,464.96,255.73,section_panel
CHEST6,6' x 8' Certainteed - Chesterf,Non-stock item,548.31,301.57,section_panel
Chestg44,"4' x 50-1/2"""" Certainteed -Che",Non-stock item,657.25,361.49,section_panel
CHESTg53,"5' x 36-1/2"""" Certainteed - Ch",Non-stock item,598.11,328.96,section_panel
CHESTG54,"5' x 50-1/2"""" Certainteed - Ch",Non-stock item,747.6,411.18,section_panel
CHESTG55,"5' x 64-1/2"""" Certainteed - Ch",Non-stock item,934.51,513.98,section_panel
CHESTG63,"6' x 36-1/2"""" Certainteed - Ch",Non-stock item,663.69,365.03,section_panel
CHESTG64,"6' x 50-1/2"""" Certainteed - Ch",Non-stock item,829.62,456.29,section_panel
CHESTG65,"6' x 64-1/2"""" Certainteed - Ch",Non-stock item,1037.04,570.37,section_panel
CHESTgk4,"4' x up to 50-1/2"""" Certaintee",Non-stock item,318.64,175.25,other
CHESTGK5,"5' x up to 50-1/2"""" Certaintee",Non-stock item,356.36,196.0,other
CHESTGK6,"6' x up to 50-1/2"""" Certaintee",Non-stock item,375.58,206.57,other
CHESTL6,6' x 8' Certainteed - Chesterf,Non-stock item,0.0,0.0,section_panel
CHESTLG63,"6' x 36-1/2"""" Chesterfield wit",Non-stock item,0.0,0.0,section_panel
CHESTLG64,"6' x 50-1/2"""" Chesterfield wit",Non-stock item,0.0,0.0,section_panel
CHESTLG65,"6' x 64-1/2"""" Chesterfield wit",Non-stock item,0.0,0.0,section_panel
CHESTV6,6' x 8' Certainteed - Chesterf,Non-stock item,626.22,344.42,section_panel
CHESTVG63,"6' x 36-1/2"""" Chesterfield wit",Non-stock item,0.0,0.0,section_panel
CHESTVG64,"6' x 50-1/2"""" Chesterfield wit",Non-stock item,836.56,460.11,section_panel
CHESTVG65,"6' x 64-1/2"""" Chesterfield wit",Non-stock item,0.0,0.0,section_panel
CHH25,1/4 in. CHAIN,Non-stock item,6.67,2.0,other
CHH316,3/16 in. CHAIN,Non-stock item,2.0,1.0,other
CHH38,3/8 in. CHAIN,Non-stock item,6.0,3.0,other
CHH516,5/16 in. CHAIN,Non-stock item,3.28,1.64,other
CHQH,Certainteed Hinge & latch set,Non-stock item,318.65,175.26,gate
CHW,CANTILEVER HELPER WHEEL,Non-stock item,46.76,25.25,other
CL300,3 in CANTILEVER FEMALE LATCH,Non-stock item,43.74,21.87,gate
CL400,4 in CANTILEVER FEMALE LATCH,Non-stock item,50.62,25.31,gate
CL658,6-5/8 in CANTILEVER FEMALE LAT,Non-stock item,162.72,81.36,other
CL-7210-GY,SELF CLOSING CL HINGE 2-1/2 TO,Non-stock item,118.31,65.07,gate
CLAR46,CLARENDON 4 x 6 SECTION,Non-stock item,142.96,78.63,section_panel
CLAR56,CLARENDON 5 x 6 SECTION,Non-stock item,150.38,82.71,section_panel
CLAR66,CLARENDON 6 x 6 SECTION,Non-stock item,157.69,86.73,section_panel
CLARG43,CLARENDON GATE 4 x 3 OPEN,Non-stock item,218.28,109.14,gate
CLARG44,CLARENDON GATE 4 x 4 OPEN,Non-stock item,231.46,115.73,gate
CLARG45,CLARENDON GATE 4 x 5 OPEN,Non-stock item,246.12,123.06,gate
CLARG53,CLARENDON GATE 5 x 3 OPEN,Non-stock item,228.84,114.42,gate
CLARG54,CLARENDON GATE 5 x 4 OPEN,Non-stock item,403.42,201.71,gate
CLARG55,CLARENDON GATE 5 x 5 OPEN,Non-stock item,259.54,129.77,gate
CLARG63,CLARENDON GATE 6 x 3 OPEN,Non-stock item,240.16,120.08,gate
CLARG64,CLARENDON GATE 6 x 4 OPEN,Non-stock item,256.3,128.15,gate
CLARG65,CLARENDON GATE 6 x 5 OPEN,Non-stock item,273.92,136.96,gate
CLAY44,CLAYTON 4 x 4 SECTION,Non-stock item,126.75,69.71,section_panel
CLAY46,CLAYTON 4 x 6 SECTION,Non-stock item,173.49,95.42,section_panel
CLAY54,CLAYTON 5 x 4 SECTION,Non-stock item,136.75,75.21,section_panel
CLAY56,CLAYTON 5 x 6 SECTION,Non-stock item,188.87,103.88,section_panel
CLAY64,CLAYTON 6 x 4 SECTION,Non-stock item,146.76,80.72,section_panel
CLAY66,CLAYTON 6 x 6 SECTION,Non-stock item,204.27,112.35,section_panel
CLAYG43,CLAYTON GATE 4 x 3 OPEN,Non-stock item,206.8,103.4,gate
CLAYG44,CLAYTON GATE 4 x 4 OPEN,Non-stock item,222.6,111.3,gate
CLAYG45,CLAYTON GATE 4 x 5 OPEN,Non-stock item,240.04,120.02,gate
CLAYG53,CLAYTON GATE 5 x 3 OPEN,Non-stock item,219.28,109.64,gate
CLAYG54,CLAYTON GATE 5 x 4 OPEN,Non-stock item,237.66,118.83,gate
CLAYG55,CLAYTON GATE 5 x 5 OPEN,Non-stock item,244.04,122.02,gate
CLAYG63,CLAYTON GATE 6 x 3 OPEN,Non-stock item,232.6,116.3,gate
CLAYG64,CLAYTON GATE 6 x 4 OPEN,Non-stock item,254.34,127.17,gate
CLAYG65,CLAYTON GATE 6 x 5 OPEN,Non-stock item,276.08,138.04,gate
CLC400,"4"""" Cantilever gate collector",Non-stock item,73.04,36.52,gate
COM4,COMMACK 4 x 8 SECTION,Non-stock item,270.62,115.84,section_panel
COM5,COMMACK 5 x 8 SECTION,Non-stock item,311.24,138.18,section_panel
COM6,COMMACK 6 x 8 SECTION,Non-stock item,351.85,160.52,section_panel
COMG43,COMMACK GATE 4 x 3 OPEN,Non-stock item,0.0,0.0,gate
COMG44,COMMACK GATE 4 x 4 OPEN,Non-stock item,0.0,0.0,gate
COMG45,COMMACK GATE 4 x 5 OPEN,Non-stock item,0.0,0.0,gate
COMG53,COMMACK GATE 5 x 3 OPEN,Non-stock item,0.0,0.0,gate
COMG54,COMMACK GATE 5 x 4 OPEN,Non-stock item,0.0,0.0,gate
COMG55,COMMACK GATE 5 x 5 OPEN,Non-stock item,0.0,0.0,gate
COMG63,COMMACK GATE 6 x 3 OPEN,Non-stock item,0.0,0.0,gate
COMG64,COMMACK GATE 6 x 4 OPEN,Non-stock item,0.0,0.0,gate
COMG65,COMMACK GATE 6 x 5 OPEN,Non-stock item,0.0,0.0,gate
COMMERCIAL ROLL GATE,,Non-stock item,0.0,0.0,gate
COMMERCIAL SWING GAT,,Stock item,0.0,0.0,gate
COMPOST,COMPOST BIN,Non-stock item,289.75,159.36,other
CONCRETE,handy crete concrete 80LB BAG,Non-stock item,11.25,6.75,concrete
consulting,,Non-stock item,0.0,0.0,other
CONVIENCE CHARGE,CREDIT CARD CHARGE,Charge item,0.0,,labor_charge
CPCN,"5"""" x5"""" Certainteed New Engla",Non-stock item,16.51,9.08,section_panel
CPCT,"5"""" x 5"""" Certainteed Traditio",Non-stock item,7.4,4.07,section_panel
CPL138,1-3/8 AUTO CHILD PROOF LATCH,Non-stock item,30.15,18.09,gate
CPL200,2 in. AUTO CHILD PROOF LATCH,Non-stock item,27.92,16.75,gate
CPL250,2-1/2 in. AUTO CHILD PROOF LAT,Non-stock item,30.15,18.09,other
CPL25158,2-1/2 x 1-5/8 CHILD PROOF LATC,Non-stock item,46.35,27.81,other
CPL3158,3 IN.  x 1-5/8 CHILD PROOF LAT,Non-stock item,51.65,30.99,other
CPP,COLONIAL PORCH POST 5000 LBS,Non-stock item,190.8,104.94,post
CR250,2-1/2 in. CANTILEVER ROLLER,Non-stock item,83.9,42.79,other
CR300,3 in. CANTILEVER ROLLER w/o gu,Non-stock item,130.02,66.31,other
CR400,4 in. CANTILEVER ROLLER w/o gu,Non-stock item,167.73,85.54,other
CR400N,4 IN.Cantilever roller nylon w,Non-stock item,189.51,96.65,other
CR658,6-5/8 in. CANTILEVER ROLLER,Non-stock item,338.0,172.38,other
CR658N,6-5/8 in. Cantilever roller ny,Non-stock item,178.1,90.83,other
CRC,CANTILEVER ROLLER GUARD per.,Non-stock item,34.0,17.0,other
CREDIT,,Non-stock item,0.0,0.0,other
Credit cards fees,Credit card fees,Charge item,0.0,,labor_charge
CRG1010,Comm. Roll gate 10 x 10 1-5/8,Non-stock item,766.8,102.24,gate
CRG1012,Comm. Roll gate 10 x 12 1-5/8,Non-stock item,809.4,107.92,gate
CRG1014,Comm. Roll gate 10 x 14 1-5/8,Non-stock item,852.0,113.6,gate
CRG1016,Comm. Roll gate 10 x 16 1-5/8,Non-stock item,1054.35,140.58,gate
CRG1018,Comm. Roll gate 10 x 18 1-5/8,Non-stock item,1096.95,146.26,gate
CRG1020,Comm. Roll gate 10 x 20 1-5/8,Non-stock item,1160.85,154.78,gate
CRG1022,Comm. Roll gate 10 x 22 1-5/8,Non-stock item,1203.45,160.46,gate
CRG1024,Comm. Roll gate 10 x 24 1-5/8,Non-stock item,1246.05,166.14,gate
CRG1210,Comm. Roll gate 12 x 10 1-5/8,Non-stock item,873.3,116.44,gate
CRG1212,Comm. Roll gate 12 x 12 1-5/8,Non-stock item,915.9,122.12,gate
CRG1214,Comm. Roll gate 12 x 14 1-5/8,Non-stock item,958.5,127.8,gate
CRG1216,Comm. Roll gate 12 x 16 1-5/8,Non-stock item,1182.15,157.62,gate
CRG1218,Comm. Roll gate 12 x 18 1-5/8,Non-stock item,1224.75,163.3,gate
CRG1220,Comm. Roll gate 12 x 20 1-5/8,Non-stock item,1288.65,171.82,gate
CRG1222,Comm. Roll gate 12 x 22 1-5/8,Non-stock item,1331.25,177.5,gate
CRG1224,Comm. Roll gate 12 x 24 1-5/8,Non-stock item,1373.85,183.18,gate
CRG410,Comm. Roll gate 4 x 10 1-5/8 f,Non-stock item,340.8,45.44,gate
CRG412,Comm. Roll gate 4 x 12 1-5/8 f,Non-stock item,489.9,65.32,gate
CRG414,Comm. Roll gate 4 x 14 1-5/8 f,Non-stock item,532.5,71.0,gate
CRG416,Comm. Roll gate 4 x 16 1-5/8 f,Non-stock item,617.7,82.36,gate
CRG418,Comm. Roll gate 4 x 18 1-5/8 f,Non-stock item,660.3,88.04,gate
CRG420,Comm. Roll gate 4 x 20 1-5/8 f,Non-stock item,756.15,100.82,gate
CRG422,Comm. Roll gate 4 x 22 1-5/8 f,Non-stock item,798.75,106.5,gate
CRG424,Comm. Roll gate 4 x 24 1-5/8 f,Non-stock item,841.35,112.18,gate
CRG510,Comm. Roll gate 5 x 10 1-5/8 f,Non-stock item,479.25,63.9,gate
CRG512,Comm. Roll gate 5 x 12 1-5/8 f,Non-stock item,543.15,72.42,gate
CRG514,Comm. Roll gate 5 x 14 1-5/8 f,Non-stock item,585.75,78.1,gate
CRG516,Comm. Roll gate 5 x 16 1-5/8 f,Non-stock item,734.85,97.98,gate
CRG518,Comm. Roll gate 5 x 18 1-5/8 f,Non-stock item,777.45,103.66,gate
CRG520,Comm. Roll gate 5 x 20 1-5/8 f,Non-stock item,841.35,112.18,gate
CRG522,Comm. Roll gate 5 x 22 1-5/8 f,Non-stock item,883.95,117.86,gate
CRG524,Comm. Roll gate 5 x 24 1-5/8 f,Non-stock item,777.45,103.66,gate
CRG610,Comm. Roll gate 6 x 10 1-5/8 f,Non-stock item,553.8,73.84,gate
CRG612,Comm. Roll gate 6 x 12 1-5/8 f,Non-stock item,596.4,79.52,gate
CRG614,Comm. Roll gate 6 x 14 1-5/8 f,Non-stock item,639.0,85.2,gate
CRG616,Comm. Roll gate 6 x 16 1-5/8 f,Non-stock item,798.75,106.5,gate
CRG618,Comm. Roll gate 6 x 18 1-5/8 f,Non-stock item,841.35,112.18,gate
CRG620,Comm. Roll gate 6 x 20 1-5/8 f,Non-stock item,905.25,120.7,gate
CRG622,Comm. Roll gate 6 x 22 1-5/8 f,Non-stock item,947.85,126.38,gate
CRG624,Comm. Roll gate 6 x 24 1-5/8 f,Non-stock item,990.45,132.06,gate
CRG810,Comm. Roll gate 8 x 10 1-5/8 f,Non-stock item,660.3,88.04,gate
CRG812,Comm. Roll gate 8 x 12 1-5/8 f,Non-stock item,702.9,93.72,gate
CRG814,Comm. Roll gate 8 x 14 1-5/8 f,Non-stock item,745.5,99.4,gate
CRG816,Comm. Roll gate 8 x 16 1-5/8 f,Non-stock item,926.55,123.54,gate
CRG818,Comm. Roll gate 8 x 18 1-5/8 f,Non-stock item,969.15,129.22,gate
CRG820,Comm. Roll gate 8 x 20 1-5/8 f,Non-stock item,1033.05,137.74,gate
CRG822,Comm. Roll gate 8 x 22 1-5/8 f,Non-stock item,1075.65,143.42,gate
CRG824,Comm. Roll gate 8 x 24 1-5/8 f,Non-stock item,1118.25,149.1,gate
CRNTOP,1 x 8 CROWN TOPPER,Non-stock item,0.0,0.0,other
CRNTOP2,2 x 8 CROWN TOPPER,Non-stock item,0.0,0.0,other
CROS4,CROSS BUCK 4 x 8 SECTION,Non-stock item,108.51,59.68,section_panel
CROSG44,CROSS BUCK GATE 4 x 4 OPEN,Non-stock item,0.0,0.0,gate
CROSG46,CROSS BUCK GATE 4 x 6 OPEN,Non-stock item,0.0,0.0,gate
CROSG48,CROSS BUCK GATE 4 x 8 OPEN,Non-stock item,0.0,0.0,gate
CSG1010,Comm. D.Swing gate 10 x 10 1-5,Non-stock item,596.4,85.2,gate
CSG1012,Comm. D.Swing gate 10 x 12 1-5,Non-stock item,656.04,93.72,gate
CSG1014,Comm. D.Swing gate 10 x 14 1-5,Non-stock item,715.68,102.24,gate
CSG103,Comm.Swing gate 10x3 1-5/8 fra,Non-stock item,288.26,41.18,gate
CSG104,Comm.Swing gate 10x4 1-5/8 fra,Non-stock item,318.08,45.44,gate
CSG105,Comm.Swing gate 10x5 1-5/8 fra,Non-stock item,347.9,49.7,gate
CSG106,Comm.Swing gate 10x6 1-5/8 fra,Non-stock item,377.72,53.96,gate
CSG108,Comm. D.Swing gate 10 x 8 1-5/,Non-stock item,536.76,76.68,gate
CSG1210,Comm. D.Swing gate 12 x 10 1-5,Non-stock item,656.04,93.72,gate
CSG1212,Comm. D.Swing gate 12 x 12 1-5,Non-stock item,715.68,102.24,gate
CSG1214,Comm. D.Swing gate 12 x 14 1-5,Non-stock item,775.32,110.76,gate
CSG123,Comm.Swing gate 12x3 1-5/8 fra,Non-stock item,328.02,46.86,gate
CSG124,Comm.Swing gate 12x4 1-5/8 fra,Non-stock item,357.84,51.12,gate
CSG125,Comm.Swing gate 12x5 1-5/8 fra,Non-stock item,387.66,55.38,gate
CSG126,Comm.Swing gate 12x6 1-5/8 fra,Non-stock item,417.48,59.64,gate
CSG128,Comm. D.Swing gate 12 x 8 1-5/,Non-stock item,596.4,85.2,gate
CSG410,Comm. D.Swing gate 4 x 10 1-5/,Non-stock item,318.08,45.44,gate
CSG412,Comm. D.Swing gate 4 x 12 1-5/,Non-stock item,477.12,68.16,gate
CSG414,Comm. D.Swing gate 4 x 14 1-5/,Non-stock item,397.6,56.8,gate
CSG43,Comm.Swing gate 4x3 1-5/8 fram,Non-stock item,139.16,19.88,gate
CSG44,Comm.Swing gate 4x4 1-5/8 fram,Non-stock item,159.04,22.72,gate
CSG45,Comm.Swing gate 4x5 1-5/8 fram,Non-stock item,178.92,25.56,gate
CSG46,Comm.Swing gate 4x6 1-5/8 fram,Non-stock item,198.8,28.4,gate
CSG48,Comm. D.Swing gate 4 x 8 1-5/8,Non-stock item,278.32,39.76,gate
CSG510,Comm. D.Swing gate 5 x 10 1-5/,Non-stock item,447.3,63.9,gate
CSG512,Comm. D.Swing gate 5 x 12 1-5/,Non-stock item,506.94,72.42,gate
CSG514,Comm. D.Swing gate 5 x 14 1-5/,Non-stock item,566.58,80.94,gate
CSG53,Comm.Swing gate 5x3 1-5/8 fram,Non-stock item,188.86,26.98,gate
CSG54,Comm.Swing gate 5x4 1-5/8 fram,Non-stock item,218.68,31.24,gate
CSG55,Comm.Swing gate 5x5 1-5/8 fram,Non-stock item,248.5,35.5,gate
CSG56,Comm.Swing gate 5x6 1-5/8 fram,Non-stock item,278.32,39.76,gate
CSG58,Comm. D.Swing gate 5 x 8 1-5/8,Non-stock item,387.66,55.38,gate
CSG610,Comm. D.Swing gate 6 x 10 1-5/,Non-stock item,477.12,68.16,gate
CSG612,Comm. D.Swing gate 6 x 12 1-5/,Non-stock item,536.76,76.68,gate
CSG614,Comm. D.Swing gate 6 x 14 1-5/,Non-stock item,596.4,85.2,gate
CSG63,Comm.Swing gate 6x3 1-5/8 fram,Non-stock item,208.74,29.82,gate
CSG64,Comm.Swing gate 6x4 1-5/8 fram,Non-stock item,238.56,34.08,gate
CSG65,Comm.Swing gate 6x5 1-5/8 fram,Non-stock item,268.38,38.34,gate
CSG66,Comm.Swing gate 6x6 1-5/8 fram,Non-stock item,298.2,42.6,gate
CSG68,Comm. D.Swing gate 6 x 8 1-5/8,Non-stock item,417.48,59.64,gate
CSG710,Comm.Swing gate 7x10 1-5/8 fra,Non-stock item,506.94,72.42,gate
CSG712,Comm.Swing gate 7x12 1-5/8 fra,Non-stock item,566.58,80.94,gate
CSG714,Comm.Swing gate 7x14 1-5/8 fra,Non-stock item,626.22,89.46,gate
CSG73,Comm.Swing gate 7x3 1-5/8 fram,Non-stock item,228.62,32.66,gate
CSG74,Comm.Swing gate 7x4 1-5/8 fram,Non-stock item,258.44,36.92,gate
CSG75,Comm.Swing gate 7x5 1-5/8 fram,Non-stock item,288.26,41.18,gate
CSG76,Comm.Swing gate 7x6 1-5/8 fram,Non-stock item,318.08,45.44,gate
CSG78,Comm.Swing gate 7x8 1-5/8 fram,Non-stock item,447.3,63.9,gate
CSG810,Comm. D.Swing gate 8 x 10 1-5/,Non-stock item,536.76,76.68,gate
CSG812,Comm. D.Swing gate 8 x 12 1-5/,Non-stock item,596.4,85.2,gate
CSG814,Comm. D.Swing gate 8 x 14 1-5/,Non-stock item,656.04,93.72,gate
CSG83,Comm.Swing gate 8x3 1-5/8 fram,Non-stock item,248.5,35.5,gate
CSG84,Comm.Swing gate 8x4 1-5/8 fram,Non-stock item,278.32,39.76,gate
CSG85,Comm.Swing gate 8x5 1-5/8 fram,Non-stock item,308.14,44.02,gate
CSG86,Comm.Swing gate 8x6 1-5/8 fram,Non-stock item,337.96,48.28,gate
CSG88,Comm. D.Swing gate 8 x 8 1-5/8,Non-stock item,477.12,68.16,gate
CSW5,5 in. CAST WHEEL W/FINGER,Non-stock item,70.0,35.0,other
CUT,CUT WIRE CHARGE,Non-stock item,20.0,0.0,chain_link
CW7,7 ga. GALV. COIL WIRE 1000',Non-stock item,278.0,139.0,chain_link
CWTS200,WOOD TO STEEL - CORNER - 2in,Non-stock item,6.8,2.72,wood
CWTS250,WOOD TO STEEL - CORNER - 2-1/2,Non-stock item,7.6,3.04,wood
CWTS300,3 in CORNER WOOD TO STEEL,Non-stock item,8.0,3.2,wood
DAAWF,Delgard Aero Adj Wall Flange,Non-stock item,0.0,0.0,aluminum
DABF250,Jerith alum base flange 2-1/2,Non-stock item,0.0,0.0,aluminum
DAG43,4 x 3 Areo Alum gate 1 x 5/8 4,Non-stock item,0.0,0.0,gate
DAG43A,4 x 3 Areo Arched alum gates 4,Non-stock item,0.0,0.0,aluminum
DAG43AF,4 x 3 Areo Arched gates w/fini,Non-stock item,0.0,0.0,aluminum
DAG44,4 x 4 Areo Alum gate 1 x 5/8 4,Non-stock item,0.0,0.0,gate
DAG44A,4 x 4 Areo Arched alum gates 4,Non-stock item,0.0,0.0,aluminum
DAG44AF,4 x 4 Areo Arched gates w/fini,Non-stock item,0.0,0.0,aluminum
DAG45,4 x 5 Areo Alum gate 1 x 5/8 4,Non-stock item,0.0,0.0,gate
DAG45A,4 x 5 Areo Arched alum gates 4,Non-stock item,0.0,0.0,aluminum
DAG45AF,4 x 5 Areo Arched gates w/fini,Non-stock item,0.0,0.0,aluminum
DAG46,4 x 6 Areo Alum gate 1 x 5/8 4,Non-stock item,0.0,0.0,gate
DAG46A,4 x 6 Areo Arched alum gates 4,Non-stock item,0.0,0.0,aluminum
DAG46AF,4 x 6 Areo Arched gates w/fini,Non-stock item,0.0,0.0,aluminum
DAG47,4 x 8 Areo Alum gate 1 x 5/8 4,Non-stock item,0.0,0.0,gate
DAG53,5 x 3 Areo Alum gate 1 x 5/8 4,Non-stock item,0.0,0.0,gate
DAG53A,5 x 3 Areo Arched alum gates 4,Non-stock item,0.0,0.0,aluminum
DAG53AF,5 x 3 Areo Arched gates w/fini,Non-stock item,0.0,0.0,aluminum
DAG54,5 x 4 Areo Alum gate 1 x 5/8 4,Non-stock item,0.0,0.0,gate
DAG543A,54 x 3 Areo Arched alum gates,Non-stock item,0.0,0.0,aluminum
DAG543AF,54 x 3 Areo Arched gates w/fin,Non-stock item,0.0,0.0,aluminum
DAG544A,54 x 4 Areo Arched alum gates,Non-stock item,0.0,0.0,aluminum
DAG544AF,54 x 4 Areo Arched gates w/fin,Non-stock item,0.0,0.0,aluminum
DAG545A,54 x 5 Areo Arched alum gates,Non-stock item,0.0,0.0,aluminum
DAG545AF,54 x 5 Areo Arched gates w/fin,Non-stock item,0.0,0.0,aluminum
DAG546A,54 x 6 Areo Arched alum gates,Non-stock item,0.0,0.0,aluminum
DAG546AF,54 x 6 Areo Arched gates w/fin,Non-stock item,0.0,0.0,aluminum
